Problem,g(x),avg_time,avg_iter,GD,Hypervolume,Spacing,Spread,Average_Hausdroff,Error_Ratio
AP1,l1,32.9512,8.3029,1.8428,82.9541,1.78,1.0297,1.8428,0.1886
AP1,0,5.4548,52.945,0.1807,61.2402,0.1952,0.989,0.1807,0.02
AP2,l1,5.8501,2.5959,0.0093,1.1752,0.008,0.9952,0.0093,0.3973
AP2,0,0.7098,5.935,0.0003,0.8207,0.0094,1.0149,0.0003,0.695
AP4,l1,58.8634,16.125,4.0807,286.4768,2.5217,0.9972,4.0807,0.0882
AP4,0,11.1379,62.14,4.4237,339.7329,3.3648,1.0146,4.4237,0.03
BK1,l1,17.6961,4.8794,0.0492,185.2213,0.2194,1.0023,0.0492,0.3617
BK1,0,1.305,8.22,0.0011,105.4222,0.2097,1.007,0.0011,0.33
DGO2,l1,14.4272,5.3571,0.869,0.0608,0.8236,1.2401,0.869,0.619
DGO2,0,0.8653,7.845,0.0,0.0,0.0,1.0103,0.0,0.98
FDS,l1,30.0002,7.9886,0.0833,11.5094,0.0917,0.9848,0.0833,0.142
FDS,0,1.7768,18.19,1.5961,12.6091,1.5889,1.0504,1.5961,0.055
JOS1,l1,16.2095,6.9828,5.6059,85.3028,4.3661,1.162,5.6059,0.1552
JOS1,0,0.5422,9.28,0.0008,82.7005,0.0692,1.0073,0.0008,0.39
LOV1,l1,20.2405,3.0357,25.5732,0.0,0.9412,0.9347,25.5732,0.9881
LOV1,0,5.0589,10.44,24.9663,0.0,0.4723,0.9714,24.9663,0.99
MOP2,l1,17.9501,5.9563,0.2388,0.3029,0.0107,0.9924,0.2388,0.3279
MOP2,0,1.7716,13.54,0.1176,0.2981,0.0115,1.0044,0.1176,0.095
POLONI,l1,38.6743,9.8607,6.9201,412.6241,1.5742,1.0189,6.9201,0.6967
POLONI,0,3.4793,11.83,4.5905,358.0754,0.4783,1.0198,4.5905,0.725
SD,l1,51.8519,9.3846,0.1321,8.644,0.0738,0.9666,0.1321,0.5385
SD,0,3.3336,10.425,0.0996,10.3082,0.0416,0.9636,0.0996,0.615
TOI4,l1,47.6184,10.5321,3.8029,0.3303,0.4399,0.9722,3.8029,0.9174
TOI4,0,0.7289,8.72,3.9327,0.6884,0.1408,1.0033,3.9327,0.955
TRIDIA,l1,29.8219,13.8073,36.6798,9822.7196,4.7928,0.972,36.6798,0.8716
TRIDIA,0,1.9624,8.02,21.0572,34590.35,4.1272,0.9726,21.0572,0.775
ZDT2,l1,21.147,3.0609,3.7147,0.2661,0.1007,0.9687,3.7147,0.9797
ZDT2,0,2.6944,9.49,0.6711,0.2204,0.0749,1.002,0.6711,0.96
