Problem,m,n,g(x),avg_time,avg_iter,GD,Hypervolume,Spacing,Spread,Average_Hausdroff,Error_Ratio,R2,Coverage
AP1,3,2,l1,2.8334,13.52,0.0,81.9529,0.1763,0.9898,0.0,0.0,-0.2656,1.0
AP1,3,2,0,2.0149,17.3667,0.0,54.7267,0.0868,0.9802,0.0,0.0,-0.1481,1.0
AP2,2,1,l1,0.3047,2.7067,0.0,2.0222,0.023,1.017,0.0,0.0,-0.3871,1.0
AP2,2,1,0,0.1425,4.7267,0.0,0.8111,0.0134,1.0168,0.0,0.0,-0.2238,1.0
AP4,3,3,l1,5.1256,39.76,0.0,301.6836,0.2486,0.9719,0.0,0.0,-0.3211,1.0
AP4,3,3,0,3.3484,49.7333,0.0,214.0211,0.2633,0.9771,0.0,0.0,-0.2076,1.0
DGO2,2,1,l1,0.7684,7.6533,0.0,0.4862,0.0135,1.0074,0.0,0.0,-0.1433,1.0
DGO2,2,1,0,0.9165,37.9133,0.0,0.0,0.0,1.2911,0.0,0.0067,-0.0,1.0
FDS,3,2,l1,2.7001,8.8467,0.0,13.7411,0.082,0.9813,0.0,0.0,-0.1728,1.0
FDS,3,2,0,1.356,9.8,0.0,15.3338,0.0697,0.9783,0.0,0.0,-0.1362,1.0
JOS1,2,5,l1,0.6391,19.8667,0.0,15.1237,0.0445,1.0055,0.0,0.0,-0.9849,1.0
JOS1,2,5,0,0.2616,26.32,0.0,13.1733,0.0469,1.01,0.0,0.0,-0.9212,1.0
LOV1,2,2,l1,0.2565,3.5867,43.2785,0.0,0.4448,1.0139,43.2785,0.7467,-0.0,1.0
LOV1,2,2,0,0.0927,3.6733,42.5625,0.0,0.7699,1.0175,42.5625,0.66,-0.0,1.0
MOP2,2,2,l1,0.8742,21.0267,0.0202,0.2184,0.0072,1.0068,0.0202,0.3067,-0.1055,1.0
MOP2,2,2,0,0.555,44.4867,0.0363,0.2826,0.036,1.0052,0.0363,0.02,-0.1132,1.0
POLONI,2,2,l1,0.9776,19.32,2.4665,409.1006,0.4096,1.0108,2.4665,0.2733,-4.9352,1.0
POLONI,2,2,0,0.2325,14.5867,3.0199,407.6626,0.2985,1.0048,3.0199,0.4867,-4.5549,1.0
SD,2,4,l1,1.8617,1.0,0.26,17.3656,0.0851,0.9615,0.26,0.72,-0.9001,1.0
SD,2,4,0,0.322,1.22,0.288,15.1575,0.0677,0.9443,0.288,0.6867,-0.8419,1.0
TOI4,2,4,l1,1.213,18.3667,0.0,1.0556,0.0191,1.0052,0.0,0.0,-0.1817,1.0
TOI4,2,4,0,0.1847,7.7067,4.4027,0.0001,0.1241,0.9947,4.4027,0.96,-0.0,1.0
TRIDIA,3,3,l1,7.4515,75.56,0.0,1754.8164,0.2613,1.0048,0.0,0.0,-1.3843,1.0
TRIDIA,3,3,0,2.5477,8.96,29.9009,8767.4826,4.2756,0.9418,29.9009,0.8333,-1.5264,1.0
